cod;cod2;cod3;X;Y;Z;Cu;length_of_core
610;BHL88;5;370;220;117;1.02;5
611;BHL88;5;370;220;112;2.17;5
612;BHL88;5;370;220;107;0.93;5
613;BHL88;5;370;220;102;1.22;5
614;BHL88;5;370;220;97;0.75;5
615;BHL88;5;370;220;92;1.06;5
616;BHL88;5;370;220;87;0.79;5
617;BHL88;5;370;220;82;0.73;5
618;BHL88;5;370;220;77;1.24;5
619;BHL90;5;465;220;122;0.87;5
620;BHL90;5;465;220;117;0.85;5
621;BHL90;5;465;220;112;0.64;5
622;BHL90;5;465;220;107;1.51;5
623;BHL90;5;465;220;102;0.99;5
624;BHL90;5;465;220;97;0.92;5
625;BHL90;5;465;220;92;0.47;5
626;BHL90;5;465;220;87;0.69;5
627;BHL90;5;465;220;82;0.62;5
628;BHL90;5;465;220;77;0.48;5
630;BHL92;5;560;220;122;1.34;5
631;BHL92;5;560;220;117;0.82;5
632;BHL92;5;560;220;112;0.82;5
633;BHL92;5;560;220;107;0.99;5
634;BHL92;5;560;220;102;0.65;5
635;BHL92;5;560;220;97;1.12;5
636;BHL92;5;560;220;92;0.52;5
637;BHL92;5;560;220;87;0.47;5
638;BHL92;5;560;220;82;0.62;5
639;BHL92;5;560;220;77;-99;5
650;BHL94;5;660;220;122;1.31;5
651;BHL94;5;660;220;117;1.21;5
652;BHL94;5;660;220;112;1.34;5
653;BHL94;5;660;220;107;1.09;5
654;BHL94;5;660;220;102;1.45;5
655;BHL94;5;660;220;97;0.68;5
656;BHL94;5;660;220;92;0.67;5
657;BHL94;5;660;220;87;0.62;5
658;BHL94;5;660;220;82;0.63;5
659;BHL94;5;660;220;77;0.74;5
